iter	Passed	Remaining
407	3414	4953
408	3415	4935
409	3423	4926
410	3428	4913
411	3430	4895
412	3432	4878
413	3433	4860
414	3435	4842
415	3436	4824
416	3438	4806
417	3439	4789
418	3441	4772
419	3443	4755
420	3444	4737
421	3446	4720
422	3447	4702
423	3457	4696
424	3459	4680
425	3461	4663
426	3462	4646
427	3464	4630
428	3466	4613
429	3467	4597
430	3469	4580
431	3472	4566
432	3480	4557
433	3492	4554
434	3494	4538
435	3495	4522
436	3497	4506
437	3499	4490
438	3501	4475
439	3515	4474
440	3518	4459
441	3519	4443
442	3521	4427
443	3523	4411
444	3524	4395
445	3526	4379
446	3527	4363
447	3528	4347
448	3535	4338
449	3537	4324
450	3542	4312
451	3544	4297
452	3546	4282
453	3549	4268
454	3551	4253
455	3553	4238
456	3556	4225
457	3558	4210
458	3560	4196
459	3562	4181
460	3563	4166
461	3573	4161
462	3575	4147
463	3577	4132
464	3578	4117
465	3580	4103
466	3582	4088
467	3583	4074
468	3586	4060
469	3604	4065
470	3610	4055
471	3612	4040
472	3613	4026
473	3616	4013
474	3629	4011
475	3631	3998
476	3633	3983
477	3634	3969
478	3636	3955
479	3637	3941
480	3639	3927
481	3641	3912
482	3642	3899
483	3648	3889
484	3651	3876
485	3655	3866
486	3657	3852
487	3658	3838
488	3661	3826
489	3663	3812
490	3664	3798
491	3666	3785
492	3667	3772
493	3669	3758
494	3671	3745
495	3674	3733
496	3676	3720
497	3677	3707
498	3679	3694
499	3693	3693
500	3695	3680
501	3696	3667
502	3698	3654
503	3700	3641
504	3701	3628
505	3704	3616
506	3705	3603
507	3707	3590
508	3724	3592
509	3726	3580
510	3728	3568
511	3731	3556
512	3733	3544
513	3735	3531
514	3737	3519
515	3742	3510
516	3745	3498
517	3751	3490
518	3755	3480
519	3758	3469
520	3760	3456
521	3761	3444
522	3764	3433
523	3767	3422
524	3768	3410
525	3770	3397
526	3772	3385
527	3775	3374
528	3790	3374
529	3793	3363
530	3795	3352
531	3797	3340
532	3800	3329
533	3801	3317
534	3811	3312
535	3813	3301
536	3815	3289
537	3816	3277
538	3818	3265
539	3820	3254
540	3821	3242
541	3823	3231
542	3825	3219
543	3827	3208
544	3851	3215
545	3855	3205
546	3857	3194
547	3860	3183
548	3872	3180
549	3874	3170
550	3876	3158
551	3878	3147
552	3880	3136
553	3882	3125
554	3885	3115
555	3886	3103
556	3888	3092
557	3904	3092
558	3906	3081
559	3908	3070
560	3910	3059
561	3911	3048
562	3913	3037
563	3915	3026
564	3925	3022
565	3931	3014
566	3933	3003
567	3936	2994
568	3938	2983
569	3940	2972
570	3961	2976
571	3964	2966
572	3966	2955
573	3968	2944
574	3969	2934
575	3971	2923
576	3973	2912
577	3975	2902
578	3976	2891
579	3986	2886
580	3990	2877
581	3993	2868
582	3995	2857
583	3997	2847
584	3999	2837
585	4000	2826
586	4002	2816
587	4004	2806
588	4006	2795
589	4022	2795
590	4024	2785
591	4026	2774
592	4027	2764
593	4029	2754
594	4031	2743
595	4033	2734
596	4043	2729
597	4062	2730
598	4063	2720
599	4065	2710
600	4067	2700
601	4070	2691
602	4072	2681
603	4074	2671
604	4075	2660
605	4077	2651
606	4079	2641
607	4080	2631
608	4082	2620
609	4083	2610
610	4085	2601
611	4087	2591
612	4096	2586
613	4098	2576
614	4099	2566
615	4103	2558
616	4105	2548
617	4107	2538
618	4109	2529
619	4110	2519
620	4112	2509
621	4113	2500
622	4125	2496
623	4126	2486
624	4128	2476
625	4129	2467
626	4130	2457
627	4132	2447
628	4134	2438
629	4136	2429
630	4138	2419
631	4152	2418
632	4155	2409
633	4157	2400
634	4159	2391
635	4161	2381
636	4163	2372
637	4165	2363
638	4167	2354
639	4187	2355
640	4189	2346
641	4191	2337
642	4193	2328
643	4196	2319
644	4198	2310
645	4200	2301
646	4202	2292
647	4221	2293
648	4222	2283
649	4224	2274
650	4227	2266
651	4230	2257
652	4232	2248
653	4233	2239
654	4235	2231
655	4237	2222
656	4239	2213
657	4241	2204
658	4243	2195
659	4244	2186
660	4247	2178
661	4249	2169
662	4255	2162
663	4257	2154
664	4259	2145
665	4278	2145
666	4280	2136
667	4282	2128
668	4285	2120
669	4286	2111
670	4288	2102
671	4290	2094
672	4292	2085
673	4304	2081
674	4305	2073
675	4307	2064
676	4309	2056
677	4312	2047
678	4313	2039
679	4315	2030
680	4317	2022
681	4318	2013
682	4319	2004
683	4344	2007
684	4346	1998
685	4347	1990
686	4349	1981
687	4355	1975
688	4357	1966
689	4358	1958
690	4360	1949
691	4362	1941
692	4363	1933
693	4365	1924
694	4366	1916
695	4368	1908
696	4370	1899
697	4374	1892
698	4375	1884
699	4377	1876
700	4379	1867
701	4380	1859
702	4383	1851
703	4384	1843
704	4387	1835
705	4388	1827
706	4389	1819
707	4390	1810
708	4392	1802
709	4393	1794
710	4396	1787
711	4398	1779
712	4400	1771
713	4402	1763
714	4405	1756
715	4407	1748
716	4408	1740
717	4410	1732
718	4426	1730
719	4428	1722
720	4430	1714
721	4431	1706
722	4433	1698
723	4436	1691
724	4438	1683
725	4451	1680
726	4453	1672
727	4455	1664
728	4456	1656
729	4457	1648
730	4459	1640
731	4460	1633
732	4461	1625
733	4462	1617
734	4464	1609
735	4466	1602
736	4467	1594
737	4468	1586
738	4469	1578
739	4474	1572
740	4476	1564
741	4478	1557
742	4480	1549
743	4482	1542
744	4483	1534
745	4484	1526
746	4486	1519
747	4487	1511
748	4488	1504
749	4489	1496
750	4491	1489
751	4496	1482
752	4505	1477
753	4506	1470
754	4509	1463
755	4510	1455
756	4511	1448
757	4513	1440
758	4515	1433
759	4516	1426
760	4523	1420
761	4525	1413
762	4526	1406
763	4528	1398
764	4529	1391
765	4530	1384
766	4532	1376
767	4533	1369
768	4534	1362
769	4536	1355
770	4538	1347
771	4540	1340
772	4546	1335
773	4550	1328
774	4552	1321
775	4557	1315
776	4559	1308
777	4569	1303
778	4581	1299
779	4583	1292
780	4585	1285
781	4587	1278
782	4590	1272
783	4594	1265
784	4597	1259
785	4599	1252
786	4601	1245
787	4603	1238
788	4605	1231
789	4607	1224
790	4608	1217
791	4612	1211
792	4614	1204
793	4617	1198
794	4619	1191
795	4621	1184
796	4622	1177
797	4624	1170
798	4626	1163
799	4628	1157
800	4630	1150
801	4633	1143
802	4641	1138
803	4644	1132
804	4647	1125
805	4649	1119
806	4652	1112
807	4654	1105
808	4656	1099
809	4658	1092
810	4661	1086
811	4664	1080
812	4668	1073
813	4677	1068
814	4735	1074
815	4749	1070
816	4754	1064
817	4757	1058
818	4759	1051
819	4761	1045
820	4763	1038
821	4765	1031
822	4768	1025
823	4770	1018
824	4772	1012
825	4774	1005
826	4775	999
827	4777	992
828	4790	988
829	4795	982
830	4799	975
831	4800	969
832	4801	962
833	4803	956
834	4811	950
835	4813	944
836	4815	937
837	4816	931
838	4818	924
839	4819	917
840	4820	911
841	4822	904
842	4824	898
843	4825	891
844	4827	885
845	4829	879
846	4833	873
847	4835	866
848	4837	860
849	4839	853
850	4840	847
851	4842	841
852	4844	834
853	4845	828
854	4847	822
855	4849	815
856	4850	809
857	4852	803
858	4853	796
859	4855	790
860	4867	785
861	4869	779
862	4871	773
863	4873	767
864	4875	760
865	4876	754
866	4878	748
867	4880	742
868	4882	735
869	4883	729
870	4885	723
871	4888	717
872	4893	711
873	4896	705
874	4897	699
875	4899	693
876	4901	687
877	4902	681
878	4905	675
879	4913	669
880	4914	663
881	4916	657
882	4917	651
883	4920	645
884	4922	639
885	4923	633
886	4925	627
887	4927	621
888	4928	615
889	4930	609
890	4934	603
891	4952	599
892	4954	593
893	4956	587
894	4957	581
895	4959	575
896	4960	569
897	4962	563
898	4972	558
899	4974	552
900	4976	546
901	4977	540
902	4979	534
903	4981	528
904	4983	523
905	4984	517
906	4986	511
907	4987	505
908	4989	499
909	5006	495
910	5009	489
911	5011	483
912	5012	477
913	5013	471
914	5014	465
915	5016	460
916	5017	454
917	5018	448
918	5019	442
919	5021	436
920	5034	431
921	5037	426
922	5039	420
923	5041	414
924	5042	408
925	5044	403
926	5046	397
927	5048	391
928	5049	385
929	5051	380
930	5053	374
931	5063	369
932	5065	363
933	5067	358
934	5069	352
935	5070	346
936	5072	341
937	5073	335
938	5075	329
939	5076	324
940	5078	318
941	5080	312
942	5082	307
943	5084	301
944	5085	296
945	5095	290
946	5098	285
947	5100	279
948	5103	274
949	5105	268
950	5107	263
951	5113	257
952	5116	252
953	5118	246
954	5121	241
955	5123	235
956	5125	230
957	5126	224
958	5129	219
959	5131	213
960	5149	208
961	5151	203
962	5153	198
963	5156	192
964	5167	187
965	5171	182
966	5192	177
967	5194	171
968	5197	166
969	5199	160
970	5201	155
971	5219	150
972	5238	145
973	5242	139
974	5244	134
975	5246	129
976	5248	123
977	5249	118
978	5251	112
979	5252	107
980	5253	101
981	5254	96
982	5256	90
983	5257	85
984	5258	80
985	5261	74
986	5262	69
987	5264	63
988	5265	58
989	5266	53
990	5267	47
991	5285	42
992	5288	37
993	5290	31
994	5292	26
995	5293	21
996	5295	15
997	5296	10
998	5298	5
999	5300	0
